created_at,temp,hum,p25,p10
NaT,23.6,61.9,0.1,0.1
NaT,23.6,61.4,0.1,0.1
NaT,23.6,61.2,0.1,0.1
NaT,23.6,60.7,0.1,0.1
NaT,23.6,59.2,0.1,0.1
NaT,23.6,59.2,0.1,0.1
NaT,23.6,59.2,0.1,0.1
NaT,23.6,59.2,0.1,0.1
NaT,23.7,57.9,0.1,0.1
NaT,23.7,57.8,0.1,0.1
NaT,23.8,57.8,0.1,0.1
NaT,23.7,57.9,0.1,0.1
NaT,23.8,57.9,0.1,0.1
NaT,23.8,57.8,0.1,0.1
NaT,23.7,57.8,0.1,0.1
NaT,23.8,57.4,0.1,0.1
NaT,23.8,57.3,0.1,0.1
NaT,23.8,57.2,0.1,0.1
NaT,23.8,57.1,0.1,0.1
NaT,23.8,57,0.1,0.1
NaT,23.8,57,0.1,0.1
NaT,23.8,56.9,0.1,0.1
NaT,23.8,56.8,0.1,0.1
NaT,23.8,56.1,0.1,0.1
NaT,23.8,56.1,0.1,0.1
NaT,23.8,56.2,0.1,0.1
NaT,23.9,56.2,0.1,0.1
NaT,23.9,56.4,0.1,0.1
NaT,23.8,56.4,0.1,0.1
NaT,23.8,56.4,0.1,0.1
NaT,23.8,56.3,0.1,0.1
NaT,23.8,56.4,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.8,56.6,0.1,0.1
NaT,23.9,56.8,0.1,0.1
NaT,23.9,56.8,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.7,0.1,0.1
NaT,23.9,56.5,0.1,0.1
NaT,23.9,56.5,0.1,0.1
NaT,23.9,56.6,0.1,0.1
NaT,23.9,56.6,0.1,0.1
NaT,23.9,56.6,0.1,0.1
NaT,23.9,56.6,0.1,0.1
NaT,23.9,56.6,0.1,0.1
NaT,24,56.5,0.1,0.1
NaT,24.1,56.6,0.1,0.1
NaT,24.1,56.7,0.1,0.1
NaT,24.3,56,0.1,0.1
NaT,24.2,55.9,0.1,0.1
NaT,24.3,56,0.1,0.1
NaT,24.3,56.1,0.1,0.1
NaT,24.3,56.1,0.1,0.1
NaT,24.3,55.1,0.1,0.1
NaT,24.3,55.1,0.1,0.1
NaT,24.3,55,0.1,0.1
NaT,24.3,54.5,0.1,0.1
NaT,24.3,54.5,0.1,0.1
NaT,24.3,54.5,0.1,0.1
NaT,24.4,54.6,0.1,0.1
NaT,24.4,54.6,0.1,0.1
NaT,24.5,54.8,0.1,0.1
NaT,24.5,54.7,0.1,0.1
NaT,24.4,54.6,0.1,0.1
NaT,24.4,54.6,0.1,0.1
NaT,26,49.1,0,0
NaT,23.6,74.8,0,0
NaT,24.3,72.2,0.1,0.1
NaT,24.3,72.2,0.1,0.1
NaT,24.3,72.2,0.1,0.1
NaT,24.3,72.1,0.1,0.1
NaT,24.5,71.5,0.1,0.1
NaT,24.5,71.5,0.1,0.1
NaT,24.5,71.5,0.1,0.1
NaT,24.5,71.5,0.1,0.1
NaT,24.2,72.4,0.1,0.1
NaT,24.2,72.8,0.1,0.1
NaT,24.2,72.8,0.1,0.1
NaT,24.1,73.1,0.1,0.1
NaT,24.1,73.2,0.1,0.1
NaT,23.9,73.6,0.1,0.1
NaT,24,73.7,0.1,0.1
NaT,23.9,73.6,0.1,0.1
NaT,24.2,73.2,0.1,0.1
NaT,24.2,73.7,0.1,0.1
NaT,24.2,73.6,0.1,0.1
NaT,24.1,74,0.1,0.1
NaT,24.1,74,0.1,0.1
NaT,24.1,74,0.1,0.1
NaT,24.1,74,0.1,0.1
NaT,24.1,74,0.1,0.1
NaT,24.2,73.8,0.1,0.1
NaT,24.1,73.9,0.1,0.1
NaT,24,74.2,0.1,0.1
NaT,24.1,74.2,0.1,0.1
NaT,24,74.2,0.1,0.1
NaT,24.1,74.2,0.1,0.1
NaT,24.1,74.2,0.1,0.1
NaT,24,74.2,0.1,0.1
NaT,24.1,74.3,0.1,0.1
NaT,24,74.2,0.1,0.1
NaT,24,74.5,0.1,0.1
NaT,24,74.5,0.1,0.1
NaT,24,74.5,0.1,0.1
NaT,23.7,75.1,0.1,0.1
NaT,23.8,75.2,0.1,0.1
NaT,23.7,75.5,0.1,0.1
NaT,23.7,75.5,0.1,0.1
NaT,23.6,75.8,0.1,0.1
NaT,23.7,76,0.1,0.1
NaT,23.6,76.2,0.1,0.1
NaT,23.6,76.2,0.1,0.1
NaT,23.6,76.2,0.1,0.1
NaT,23.5,76.7,0.1,0.1
NaT,23.5,76.7,0.1,0.1
NaT,23.5,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.7,0.1,0.1
NaT,23.6,76.6,0.1,0.1
NaT,23.6,76.6,0.1,0.1
NaT,23.6,76.6,0.1,0.1
NaT,23.6,76.8,0.1,0.1
NaT,23.6,76.8,0.1,0.1
NaT,23.5,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.4,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.6,77.5,0.1,0.1
NaT,23.4,71.8,0.1,0.1
NaT,23.6,71.1,0.1,0.1
NaT,23.6,71.3,0.1,0.1
NaT,23.6,71.3,0.1,0.1
NaT,23.6,71.3,0.1,0.1
NaT,23.7,71.1,0.1,0.1
NaT,23.7,70.6,0.1,0.1
NaT,23.7,70.6,0.1,0.1
NaT,23.7,70.6,0.1,0.1
NaT,23.8,70.7,0.1,0.1
NaT,23.8,70.7,0.1,0.1
NaT,23.8,70.8,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.6,0.1,0.1
NaT,23.8,70.5,0.1,0.1
NaT,23.8,70.4,0.1,0.1
NaT,23.8,70.4,0.1,0.1
NaT,23.8,70.4,0.1,0.1
NaT,23.8,70.4,0.1,0.1
NaT,23.8,70.5,0.1,0.1
NaT,23.9,70.4,0.1,0.1
NaT,24,69.7,0.1,0.1
NaT,24,69.7,0.1,0.1
NaT,23.9,69.6,0.1,0.1
NaT,23.9,69.6,0.1,0.1
NaT,24,69.7,0.1,0.1
NaT,24,69.8,0.1,0.1
NaT,24,69.8,0.1,0.1
NaT,24,69.8,0.1,0.1
NaT,24.1,69.5,0.1,0.1
NaT,24.1,69.3,0.1,0.1
NaT,24.1,69.3,0.1,0.1
NaT,24.1,69.3,0.1,0.1
NaT,24.1,69.3,0.1,0.1
NaT,24.1,69.3,0.1,0.1
NaT,24.1,69.3,0.1,0.1
NaT,24.2,68.4,0.1,0.1
NaT,24.9,60,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.4,0.1,0.1
NaT,24.9,59.4,0.1,0.1
NaT,24.8,59.4,0.1,0.1
NaT,24.8,59.2,0.1,0.1
NaT,24.8,59.2,0.1,0.1
NaT,24.9,59.3,0.1,0.1
NaT,24.9,59.3,0.1,0.1
NaT,24.9,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.9,59.3,0.1,0.1
NaT,24.8,59.3,0.1,0.1
NaT,24.8,59.2,0.1,0.1
NaT,24.8,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,24.9,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.1,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.2,0.1,0.1
NaT,25,59.3,0.1,0.1
NaT,25,59.3,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.5,0.1,0.1
NaT,25,59.5,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.3,0.1,0.1
NaT,25,59.4,0.1,0.1
NaT,25,59.7,0.1,0.1
NaT,25,59.7,0.1,0.1
NaT,25,59.7,0.1,0.1
NaT,25,59.7,0.1,0.1
NaT,25.3,57.9,0.1,0.1
NaT,25.3,57.9,0.1,0.1
NaT,25.3,57.9,0.1,0.1
NaT,25.3,57.9,0.1,0.1
NaT,25.3,57.9,0.1,0.1
NaT,25.3,57.8,0.1,0.1
NaT,25.4,56.8,0.1,0.1
NaT,25.4,56.8,0.1,0.1
NaT,25.4,56.8,0.1,0.1
NaT,25.4,56.7,0.1,0.1
NaT,25.4,55.5,0.1,0.1
NaT,25.4,55.5,0.1,0.1
NaT,25.4,55.5,0.1,0.1
NaT,25.4,55.4,0.1,0.1
